creationTime,0,1,2,3,4,5,6,7,8,9,10
1522631060185,chicago/traffic-lane/45/thing/traffic-lane/1522631060185,,thing/traffic-lane,,10,-1,chicago/traffic-lane/45,-87.7258968524,41.8953666789,41.9026704832,-87.7261884496
1522631060293,chicago/traffic-lane/44/thing/traffic-lane/1522631060293,,thing/traffic-lane,,10,-1,chicago/traffic-lane/44,-87.7256212259,41.8854658549,41.8953666789,-87.725990629
1522631058423,chicago/traffic-lane/345/thing/traffic-lane/1522631058423,,thing/traffic-lane,,25,-1,chicago/traffic-lane/345,-87.6846933402,41.8229949942,41.8259368847,-87.6847191026
1522631058847,chicago/traffic-lane/105/thing/traffic-lane/1522631058847,,thing/traffic-lane,,28,-1,chicago/traffic-lane/105,-87.6640374592,41.7794635041,41.7867457704,-87.6642111674
1522631058864,chicago/traffic-lane/104/thing/traffic-lane/1522631058864,,thing/traffic-lane,,28,-1,chicago/traffic-lane/104,-87.6638378447,41.7721909488,41.7794635041,-87.6640374592
1522631059323,chicago/traffic-lane/417/thing/traffic-lane/1522631059323,,thing/traffic-lane,,33,-1,chicago/traffic-lane/417,-87.7118878282,41.7498206443,41.7496709256,-87.7218815259
1522631060389,chicago/traffic-lane/43/thing/traffic-lane/1522631060389,,thing/traffic-lane,,25,-1,chicago/traffic-lane/43,-87.7255232056,41.8819364677,41.8854658549,-87.7256546637
1522631060406,chicago/traffic-lane/13/thing/traffic-lane/1522631060406,,thing/traffic-lane,,21,-1,chicago/traffic-lane/13,-87.7818044315,41.7924861906,41.7922933877,-87.7915747868
1522631061299,chicago/traffic-lane/205/thing/traffic-lane/1522631061299,,thing/traffic-lane,,16,-1,chicago/traffic-lane/205,-87.706959124,41.9102525328,41.9101313576,-87.7166993605
1522629250438,chicago/traffic-lane/1183/thing/traffic-lane/1522629250438,,thing/traffic-lane,,16,-1,chicago/traffic-lane/1183,-87.6601728465,41.9982075605,42.0055389804,-87.6607357537
1522629250528,chicago/traffic-lane/1182/thing/traffic-lane/1522629250528,,thing/traffic-lane,,26,-1,chicago/traffic-lane/1182,-87.6599416534,41.9854613518,41.9982075605,-87.6601728465
1522629251319,chicago/traffic-lane/1231/thing/traffic-lane/1522629251319,,thing/traffic-lane,,25,-1,chicago/traffic-lane/1231,-87.649296,41.947316,41.954562,-87.649509
1522630211300,chicago/traffic-lane/1294/thing/traffic-lane/1522630211300,,thing/traffic-lane,,14,-1,chicago/traffic-lane/1294,-87.627518,41.875639,41.886813,-87.627876
1522630211577,chicago/traffic-lane/1124/thing/traffic-lane/1522630211577,,thing/traffic-lane,,37,-1,chicago/traffic-lane/1124,-87.7406249198,41.7201471215,41.7344603497,-87.740933
1522630211627,chicago/traffic-lane/1225/thing/traffic-lane/1522630211627,,thing/traffic-lane,,15,-1,chicago/traffic-lane/1225,-87.647904,41.903636,41.91092,-87.648083
1522630211712,chicago/traffic-lane/1223/thing/traffic-lane/1522630211712,,thing/traffic-lane,,17,-1,chicago/traffic-lane/1223,-87.647427,41.891185,41.896397,-87.647555
1522630212281,chicago/traffic-lane/801/thing/traffic-lane/1522630212281,,thing/traffic-lane,,29,-1,chicago/traffic-lane/801,-87.5855768194,41.7515184785,41.7587831979,-87.585746426
1522630212298,chicago/traffic-lane/1276/thing/traffic-lane/1522630212298,,thing/traffic-lane,,21,-1,chicago/traffic-lane/1276,-87.620301,41.867512,41.875774,-87.620488
1522630210317,chicago/traffic-lane/1303/thing/traffic-lane/1522630210317,,thing/traffic-lane,,23,-1,chicago/traffic-lane/1303,-87.617312,41.873356,41.873192,-87.627565
1522630210458,chicago/traffic-lane/1216/thing/traffic-lane/1522630210458,,thing/traffic-lane,,26,-1,chicago/traffic-lane/1216,-87.646086,41.838046,41.847196,-87.646297
1522630210543,chicago/traffic-lane/1181/thing/traffic-lane/1522630210543,,thing/traffic-lane,,21,-1,chicago/traffic-lane/1181,-87.5802996067,41.7925550314,41.7927800797,-87.5838875815
1522630210594,chicago/traffic-lane/1215/thing/traffic-lane/1522630210594,,thing/traffic-lane,,18,-1,chicago/traffic-lane/1215,-87.645915,41.83075,41.838046,-87.646086
1522630210805,chicago/traffic-lane/1280/thing/traffic-lane/1522630210805,,thing/traffic-lane,,18,-1,chicago/traffic-lane/1280,-87.620542,41.884414,41.891002,-87.620124
1522630212455,chicago/traffic-lane/799/thing/traffic-lane/1522630212455,,thing/traffic-lane,,32,-1,chicago/traffic-lane/799,-87.5852385693,41.7369134537,41.7442162163,-87.5854076784
1522630212914,chicago/traffic-lane/1210/thing/traffic-lane/1522630212914,,thing/traffic-lane,,25,-1,chicago/traffic-lane/1210,-87.64497,41.794301,41.801585,-87.645156
1522630210248,chicago/traffic-lane/1218/thing/traffic-lane/1522630210248,,thing/traffic-lane,,24,-1,chicago/traffic-lane/1218,-87.646305,41.852646,41.859912,-87.646517
1522628355709,chicago/traffic-lane/660/thing/traffic-lane/1522628355709,,thing/traffic-lane,,14,-1,chicago/traffic-lane/660,-87.624251783,41.8758738945,41.8757590907,-87.6276277176
1522628355807,chicago/traffic-lane/275/thing/traffic-lane/1522628355807,,thing/traffic-lane,,22,-1,chicago/traffic-lane/275,-87.6145264307,41.7366402331,41.736485,-87.624761
1522628355847,chicago/traffic-lane/317/thing/traffic-lane/1522628355847,,thing/traffic-lane,,22,-1,chicago/traffic-lane/317,-87.654543283,41.954625578,41.9545153063,-87.6622485204
1522628355953,chicago/traffic-lane/277/thing/traffic-lane/1522628355953,,thing/traffic-lane,,24,-1,chicago/traffic-lane/277,-87.5856349924,41.7370506698,41.7367866148,-87.6048212832
1522628356306,chicago/traffic-lane/276/thing/traffic-lane/1522628356306,,thing/traffic-lane,,14,-1,chicago/traffic-lane/276,-87.6048212832,41.7367866148,41.7366402331,-87.6145264307
1522628356511,chicago/traffic-lane/278/thing/traffic-lane/1522628356511,,thing/traffic-lane,,18,-1,chicago/traffic-lane/278,-87.5688698936,41.7372907245,41.7370506698,-87.5856349924
1522628356530,chicago/traffic-lane/268/thing/traffic-lane/1522628356530,,thing/traffic-lane,,25,-1,chicago/traffic-lane/268,-87.6921980271,41.7355199254,41.7353577848,-87.7020951833
1522628356713,chicago/traffic-lane/455/thing/traffic-lane/1522628356713,,thing/traffic-lane,,28,-1,chicago/traffic-lane/455,-87.6341938681,41.7508788394,41.7507752434,-87.6439701738
